KODE;NAVN_NORSK;NAVN_ENGELSK;NAVN_LATINSK
"HFH";"Sj�ris";"Landlady's Wig";"Ahnfeltia plicata"
"HKE";"Lysing";"European hake";"Merluccius merluccius"
"HKN";"Southern hake*";"Southern hake";"Merluccius australis"
"HKR";"R�d lysing";"Red hake";"Urophycis chuss"
"HKS";"Silver hake *";"Silver hake";"Merluccius bilinearis"
"HKW";"Hvit lysing";"White hake";"Urophycis tenuis"
"HKX";"Hakes nei. *";"Hakes nei.";"Merluccius spp."
"HLZ";"Knapptang";"Sea thong";"Himanthalia elongata"
"HOL";"Havmus uspes.";"Chimaeras etc. nei";"Chimaeriformes"
"HOM";"Hestmakrell";"Atlantic horse mackerel";"Trachurus trachurus"
"HOU";"Nebbsik (ferskvann)";"Houting";"Coregonus  oxyrinchus"
"HPI";"Sj�hest";"Long-snouted seahorse";"Hippocampus guttulatus"
"HPR";"Mediterranean slimehead*";"Mediterranean slimehead";"Hoplostethus mediterraneus"
"HVO";"Sj�gressreke";"Chameleon prawn";"Hippolyte varians"
"HXC";"Kragehai";"Frilled shark";"Chlamydoselachus anguineus"
"HYD";"Ratfishes nei*";"Ratfishes nei";"Hydrolagus spp."
"IBI";"Tornulke";"Twohorn sculpin";"Icelus bicornis"
"ICX";"Isfisk, uspes.";"Icesfishes nei";"Channichthyidae"
"IFO";"Langfotkrabbe";"Scorpion spider crab";"Inachus dorsettensis"
"IFS";"Stankelbenkrabbe";"Long-legged spider crab";"Macropodia rostrata"
"IMS";"Krusflik";"Mousse perle";"Chondrus crispus"
"IOD";"Vanlig sv�mmekrabbe";"Blue-leg swimcrab";"Liocarcinus depurator"
"IRI";"Kamuflasjereke";"Friendly blade shrimp";"Spirontocaris liljeborgi"
"ISC";"Haneskjell";"Islandic scallop";"Chlamys islandica"
"JAD";"Svartskate";"Norwegian skate";"Diptorus (Raja) hyperborea"
"JAX";"Annen hestmakrell";"Jack & horsemackerel";"Trachurus spp."
"JCA";"Acartia tonsa **";"Acartia tonsa **";"Acartia tonsa"
"JCM";"Raud�te";"Calanus finmarchicus **";"Calanus finmarchicus"
"JET";"Steinkrabbe";"Bryer's nut crab";"Ebalia tumefacta"
"JOD";"Sanktpetersfisk";"John dory";"Zeus faber"
"KCD";"Kongekrabbe";"Red king crab";"Paralithodes camtschaticus"
"KCT";"Trollkrabbe";"Stone king crab";"Lithodes maja"
"KCV";"Antarctic stone crab*";"Antarctic stone crab";"Paralomis spinosissima"
"KCX";;"King crabs, stone crabs nei";"Lithodidae"
"KEF";"Deep-sea red crab*";"Deep-sea red crab";"Chaceon affinis"
"KHG";"Brunp�lse";"Pudding";"Cucumaria frondosa"
"KIF";"Ocellated icefish*";"Ocellated icefish";"Chionodraco rastrospinosus"
"KII";"Pollpryd";"Fragile codium";"Codium fragile"
"KIT";"Gr�nnsj�piggsvin";"Psammechinus miliaris *'";"Psammechinus miliaris"
"KIW";"Spekkhogger";"Killer whale";"Orcinus orca"
"KMY";"Vanlig gr�nndusk";"Common green branched weed";"Cladophora rupestris"
"KOJ";"Gr�nnsekkdyr";"Ciona";"Ciona intestinalis"
"KRI";"Antarktisk krill";"Antarctic krill";"Euphausia superba"
"LAG";"Laksest�rje";"Opah";"Lampris guttatus"
"LAH";"Stortare";"North European kelp";"Laminaria hyperborea"
"LAS";"Ni�ye, uspes.";"Lampreys nei";"Petromyzontidae"
"LAZ";"Tare uspes.";"Kelps nei";"Laminariaceae"
"LBA";"Amerikansk hummer";"American lobster";"Homarus americanus"
"LBE";"Hummer";"European lobster";"Homarus gammarus"
"LEE";"Leerfish *";"Leerfish";"Lichia amia"
"LEF";"Annen var";"Left eye flounders";"Bothidae"
"LEM";"Lomre";"Lemon sole";"Microstomus kitt"
"LEZ";"Megrims nei*";"Megrims nei";"Lepidorhombus"
"LIN";"Lange";"Ling";"Molva molva"
"LOQ";"Krinakrabbe";"Squat lobsters";"Galathea spp."
"LPZ";"Albuskjell";"Limpets nei";"Patella spp"
"LQA";"Rettsnutet sv�mmekrabbe";"Arched swimming crab";"Liocarcinus arcuatus"
"LQD";"Fingertare";"Tangle";"Laminaria digitata"
"LQX";"Sukkertare";"Sea belt";"Saccharina latissima"
"LTA";"Tunnin";"Atlantic black skipjack";"Euthynnus alletteratus"
"LUM";"Rognkjeks (felles)";"Lumpfish (=Lumpsucker)";"Cyclopterus lumpus"
"LWS";"Lophelia pertusa **";"Lophelia pertusa **";"Lophelia pertusa"
"LXT";"Porselenskrabbe";"Long-clawed porcelain crab";"Pisidia longicornis"
"LXX";"Lanternfishes nei *";"Lanternfishes nei";"Myctophidae"
"LYY";"Vanlig fl�yfisk";"Dragonet";"Callionymus lyra"
"MAC";"Makrell";"Atlantic mackerel";"Scomber scombrus"
"MAM";"Andre sj�pattedyr";"Aquatic mammals nei,";"Mammalia"
"MAS";"Spansk makrell";"Chub mackerel";"Scomber japonicus"
"MAV";"Laksesild";"Silvery lightfish (Pearlsides)";"Maurolicus muelleri"
"MAX";"Annen makrell";"Mackerels";"Scombridae"
"MEG";"Glassvar";"Megrim";"Lepidorhombus whiffiagonis"
"MGR";"�rnefisk";" Meagre";"Argyrosomus regius"
"MHA";"Atlantic menhaden *";"Atlantic menhaden";"Brevoortia tyrannus"
"MIW";"V�gehval";"Minke whale";"Balaenoptera acutorostrata"
"MLR";"Tykkleppet multe";"Thicklip grey mullet";"Chelon labrosus"
"MOD";"O-skjell";"Horse mussel";"Modiolus spp."
"MOL";"Annet bl�tdyr";"Marine molluscs";"Mollusca"
"MON";"Breiflabb";"Angler (= Monk)";"Lophius piscatorius"
"MOR";"Mora uspes.";"Moras nei";"Moridae"
"MOX";"M�nefisk";"Ocean sunfish";"Mola mola"
"MRL";"Patagonsk torsk, uspes";"Moray cods nei";"Muraenolepis spp"
"MSF";"Tungevar";"Mediterranean scaldfish";"Arnoglossus laterna"
"MTP";"Liten lysprikkfisk";"Spotted lanternfish";"Myctophum punctatum"
"MUL";"Annen multe";"Mullets";"Mugilidae"
"MUR";"Mulle";"Surmullet";"Mullus surmuletus"
"MUS";"Bl�skjell";"Blue mussel";"Mytilus edulis"
"MUT";"Redmullet *";"Redmullet";"Mullus barbatus"
"MVD";"Sandpyntekrabbe";"Atlantic lyre crab";"Hyas araneus"
"MVH";"Gitarpyntekrabbe";"Arctic lyre crab";"Hyas corarctatus"
"MVI";"Siksakkorall";"Madrepora coral";"Madrepora oculata"
"MVT";"Vorteflik";"False Irish moss";"Mastocarpus stellatus"
"MXV";"Vanlig ulke";"Shorthorn sculpin";"Myoxocephalus scorpius"
"MYG";"Slim�l";"Hagfish";"Myxine glutinosa"
"MYS";"Annen bardehval";"Baleen whales";"Mysticeti"
"MZZ";"Annen marin fisk";"Marine fishes";"Osteichthyes"
"NEP";"Sj�kreps";"Norway lobster";"Nephrops norvegicus"
"NKR";"Krill";"Norwegian krill";"Meganyctiphanes norvegica"
"NLO";"R�dsleipe";"Sea spaghetti";"Nemalion helminthoides"
"NOG";"Humped rockcod*";"Humped rockcod";"Notothenia gibberifrons"
"NOK";"Striped-eyed rockcod*";"Striped-eyed rockcod";"Notothenia kempi"
"NOP";"�yep�l";"Norway pout";"Trisopterus esmarkii"
"NOR";"Marbled rockcod*";"Marbled rockcod";"Notothenia rossii"
"NOS";"Grey rockcod*";"Grey rockcod";"Lepidonotothen (Notothenia) squamifrons"
"NOT";"Patagonian rockcod*";"Patagonian rockcod";"Patagonotothen brevicauda"
"NOX";"Tannfisk, uspes.";"Antarctic rockcods, noties nei";"Nototheniidae"
"OAL";"Tunge (Senegal)";"Senegalese sole";"Solea senegalensis"
"OBD";"Leirkutling";"Common goby";"Pomatoschistus microps"
"OBZ";"Sandkutling";"Sand goby";"Pomatoschistus minutus"
"OCT";"�tte-armet blekksprut uspes.";"Octopuses";"Octopodidae"
"ODN";"Annen tannhval";"Toothed whales";"Odontoceti"
"OFH";"Vanlig fj�rehinne";"Pink laver";"Prophyra umbilicalis"
"OFK";"Porphyra dioica*";"Porphyra dioica*";"Porphyra dioica"
"OFN";"Smal fj�rehinne";"Ribboned nori";"Porphyra linearis"
"OFQ";"Purpurfj�rehinne";"Purple laver";"Porphyra purpurea"
"OPT";"Ocean pout*";"Ocean pout";"Macrozoarces (Zoarces) americanus"
"ORD";"Oreo dories nei*";"Oreo dories nei";"Oreosomatidae"
"ORY";"Orange roughy";"Orange roughy";"Hoplostethus atlanticus"
"OWJ";"Medaka";"Japanese rice fish";"Oryzias lapides"
"OWK";"Stor lysprikkfisk";"Kroyer's lanternfish";"Notoscopelus kroeyeri"
"OXN";"Tornh�";"Sailfin roughshark";"Oxynotus paradoxus"
"OYC";"Stillehavs�sters";"Cupped oysters";"Crassostrea spp."
"OYF";"�sters";"European flat oyster";"Ostrea edulis"
"OZS";"Molly";"Molly";"Poecilia spenops"
