KODE;NAVN_NORSK;NAVN_ENGELSK;NAVN_LATINSK
"TOA";"Antarktisk tannfisk";"Antarctic toothfish";"Dissostichus mawsoni"
"TOE";"Elrokke";"Torpededos";"Torpedo spp."
"TOP";"Patagonisk tannfisk";"Patagonian toothfish";"Dissostichus eleginoides"
"TOT";"Antarktisk tannfisk, uspes.";"Antarctic toothfish, nei";"Dissostichus spp"
"TRH";"Striped rockcod*";"Striped rockcod";"Pagothenia hansoni"
"TRL";"Blunt scalyhead*";"Blunt scalyhead";"Trematomus eulepidotus"
"TRO";"Annen �rret";"Trouts";"Salmo spp."
"TRR";"Regnbue�rret";"Rainbow trout";"Oncorhynchus mykiss/ Salmo gairdneri"
"TRS";"�rret";"Sea trout";"Salmo trutta"
"TUN";"Annen tunfisk";"Tunas";"Thunnini"
"TUR";"Piggvar";"Turbot";"Scophthalmus maximus"
"TVK";"R�dp�lse";"Red sea cucumber";"Parastichopus tremulus"
"UCU";"Tang uspes.";"Fucus spp **";"Fucus spp"
"UEM";"Muddertrollkreps";"Munida sarsi **";"Munida sarsi"
"UEX";"Muddertrollkreps, uspes.";"Munida spp **";"Munida spp"
"UFB";"Benguela-kutling";"Pelagic goby";"Sufflogobius bibarbatus"
"UJP";"Dvergreke";"Doll eualid";"Eualus pusiolus"
"URC";"Kr�kebolle";"Sea urchins";"Echinoidea"
"URS";"R�d kr�kebolle";"European edible sea urchin";"Echinus esculentus"
"USB";"Berggylt";"Ballan wrasse";"Labrus bergylta"
"USD";"Langpigget kr�kebolle";"Echinus acutus **";"Echinus acutus"
"USI";"Bl�st�l/ R�dnebb";"Cuckoo wrasse";"Labrus (bimaculatus) mixtus"
"USK";"Brosme";"Tusk(= Cusk)";"Brosme brosme"
"UVI";"Tarmgr�nske";"Gut weed";"UVI"
"UVU";"Havsalat";"Sea lettuce";"Ulva lactuca"
"UYD";"Dr�baksj�piggsvin";"Strongylocentrotus droebachiensis **";"Strongylocentrotus droebachiensis"
"VLA";"Grisetangdokke";"Vertebrata lanosa **";"Vertebrata lanosa"
"VNA";"Gullskjell";"Golden carpet shell";"Polititapes aureus"
"VSC";"Urskjell";"Variegated scallop";"Chlamys varia"
"VUC";"Teppeskjell";"Corrugated venus/Pullet carpet shell";"Veneruois corrugata"
"WAL";"Hvalross";"Walrus";"Odobenus rosmarus"
"WAP";"Gr�nlandsbutare";"Alaria pylaiei **";"Alaria pylaiei"
"WEG";"Fjesing";"Greater weever";"Trachinus draco"
"WGR";"S�rlig skolest";"Whitson's grenadier";"Macrourus whitsoni"
"WHB";"Kolmule";"Blue whiting";"Micromesistius poutassou"
"WHE";"Kongsnegl (Kongesnegl)";"Whelk (Common whelk)";"Buccinum undatum"
"WHF";"Annen sik (ferskvann)";"Whitefish";"Coregonus spp."
"WHG";"Hvitting";"Whiting";"Merlangius merlangus"
"WHM";"Atlantic white marlin *";"Atlantic white marlin";"Tetrapturus albidus"
"WIC";"Spiny icefish*";"Spiny icefish";"Cheanodraco wilsnoni"
"WIT";"Sm�rflyndre";"Witch flounder";"Glyptocephalus cynoglossus"
"WKT";"Arctic sea ice amphipod*";"Arctic sea ice amphipod";"Gammarus wilkitzkii"
"WRA";"Annen leppefisk";"Wrasses, hogfish";"Labridae"
"WRF";"Vrakfisk";"Wreckfish";"Polyprion americanus"
"WSE";"Gammarus setosus **";"Gammarus setosus **";"Gammarus setosus"
"XPL";"Marmorkrabbe";"Risso's crab";"Xantho pilipes"
"XTA";"Dvergulke";"Longspined bullhead";"Taurulus bubalis"
"YCK";"F�rehodetannkarpe";"Sheepshead minnow";"Cyprinodon variegatus"
"YEL";"Yellowtail flounder *";"Yellowtail flounder";"Limanda ferruginea"
"YEZ";"Storsil";"Great sandeel";"Hyperoplus lanceolatus"
"YFM";"Gr�nngylt";"Corkwing wrasse";"Symphodus melops"
"YFT";"Yellowfin tuna *";"Yellowfin tuna";"Thunnus albacares"
"YTC";"Kingfish, yellowtail *";"Kingfish, yellowtail";"Seriola lalandi"
"YTK";"Butt sandskjell";"Blunt gaper";"Mya truncata"
"ZAA";"Krokulke";"Atlantic hookear sculpin";"Artediellus atlanticus"
"ZCZ";"Hairy cockle*";"Hairy cockle";"Ciliatocardium ciliatum"
"ZFC";"Martaum";"Sea lace";"Chorda filum"
"ZHA";"Steinboreskjell";"Wrinkled rock borer";"Hiatella arctica"
"ZMC";"Chalky macoma*";"Chalky macoma";"Macoma calcarea"
"ZSD";"Bladtare";"Saccorhiza dermatodea **";"Saccorhiza dermatodea"
"ZSY";"Draugtare";"Furbellow";"Saccorhiza polyschides"
"ZTG";"Arktisk knurrulke";"Ribbed sculpin";"Tripglops pingelii"
